timestamp,cpu_usage,memory_usage,network_rx,network_tx,active_processes
1746001594,0.0,9.26026,Receive,,167
1746001595,0.0,9.26114,Receive,,167
1746001597,0.0,9.25758,Receive,,167
1746001598,0.0,9.25582,Receive,,167
1746001599,0.0,9.3106,Receive,,167
1746001600,4.8,9.33997,Receive,,167
1746001601,9.4,9.38811,Receive,,167
1746001602,3.2,9.39784,Receive,,167
1746001604,3.2,9.42251,Receive,,167
1746001605,0.0,9.44361,Receive,,167
1746001606,3.2,9.44959,Receive,,167
1746001607,7.8,9.50249,Receive,,167
1746001608,1.6,9.51013,Receive,,167
1746001610,1.6,9.44409,Receive,,167
1746001611,3.2,9.45881,Receive,,167
1746001612,1.6,9.46829,Receive,,167
1746001613,4.6,9.46152,Receive,,167
1746001614,7.7,9.47127,Receive,,167
1746001616,3.1,9.47547,Receive,,167
1746001617,4.8,9.48411,Receive,,167
1746001618,6.2,9.48963,Receive,,167
1746001619,1.5,9.54461,Receive,,167
1746001620,3.1,9.52937,Receive,,167
1746001622,6.2,9.5409,Receive,,167
1746001623,3.2,9.54127,Receive,,167
1746001624,3.2,9.5462,Receive,,167
1746001625,3.2,9.55456,Receive,,167
1746001626,3.2,9.54625,Receive,,167
1746001627,6.6,9.55058,Receive,,167
1746001629,4.5,9.492,Receive,,167
1746001630,3.2,9.47908,Receive,,167
1746001631,3.2,9.48997,Receive,,167
1746001632,1.6,9.48892,Receive,,167
1746001633,3.1,9.4876,Receive,,167
1746001635,6.2,9.49429,Receive,,167
1746001636,4.8,9.49185,Receive,,167
1746001637,0.0,9.48702,Receive,,167
1746001638,4.6,9.49522,Receive,,167
1746001639,3.2,9.55316,Receive,,167
1746001641,3.1,9.55505,Receive,,167
1746001642,3.2,9.53743,Receive,,167
1746001643,1.6,9.53778,Receive,,167
1746001644,1.6,9.52701,Receive,,167
