timestamp,cpu_usage,memory_usage,network_rx,network_tx,active_processes
1746001011,0.0,9.21888,Receive,,165
1746001012,0.0,9.22644,Receive,,165
1746001014,1.6,9.22991,Receive,,165
1746001015,0.0,9.22673,Receive,,165
1746001016,1.5,9.22683,Receive,,165
1746001017,0.0,9.22971,Receive,,165
1746001018,0.0,9.22487,Receive,,165
1746001020,1.6,9.22748,Receive,,165
1746001021,3.2,9.23794,Receive,,165
1746001022,1.6,9.2644,Receive,,165
1746001023,4.7,9.26751,Receive,,165
1746001024,4.6,9.27301,Receive,,165
1746001025,1.6,9.27641,Receive,,165
1746001027,1.6,9.25709,Receive,,165
1746001028,3.2,9.27377,Receive,,165
1746001029,6.2,9.27563,Receive,,165
1746001030,0.0,9.27409,Receive,,165
1746001031,1.6,9.28066,Receive,,165
1746001033,4.7,9.27052,Receive,,165
1746001034,4.8,9.27702,Receive,,165
1746001035,3.2,9.28137,Receive,,165
1746001036,3.1,9.28917,Receive,,165
1746001037,3.2,9.28908,Receive,,165
1746001039,3.3,9.28661,Receive,,165
1746001040,4.7,9.27445,Receive,,165
1746001041,4.8,9.2668,Receive,,165
1746001042,7.8,9.26636,Receive,,165
1746001043,4.6,9.27685,Receive,,165
1746001044,3.2,9.28269,Receive,,165
1746001046,4.8,9.28568,Receive,,165
1746001047,4.7,9.29191,Receive,,165
1746001048,1.6,9.27252,Receive,,165
1746001049,3.1,9.27543,Receive,,165
1746001050,3.1,9.27771,Receive,,165
1746001052,3.2,9.27304,Receive,,165
1746001053,1.6,9.25919,Receive,,165
1746001054,4.6,9.27744,Receive,,165
1746001055,4.7,9.27578,Receive,,165
1746001056,6.2,9.28108,Receive,,165
1746001058,7.7,9.28759,Receive,,165
1746001059,0.0,9.2752,Receive,,165
1746001060,3.3,9.28342,Receive,,165
1746001061,0.0,9.28494,Receive,,165
1746001062,0.0,9.27809,Receive,,165
1746001063,3.2,9.27445,Receive,,165
1746001065,1.6,9.27158,Receive,,165
1746001066,1.6,9.24814,Receive,,165
1746001067,1.6,9.24856,Receive,,165
1746001068,0.0,9.24457,Receive,,165
